length_url,length_hostname,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,has_ip,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,status
37,19,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,php,legitimate
77,23,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0.22077922077922077,0.0,0,0,0,0,0,0,0,0,0,,phishing
126,50,4,1,0,1,2,0,3,2,0,0,5,0,1,0,0,0,0,0,2,1,0,0,0,0.15079365079365079,0.0,0,0,0,0,1,3,1,0,0,,phishing
18,11,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,legitimate
55,15,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,legitimate
32,24,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,1,2,1,0,0,,phishing
19,12,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,legitimate
81,27,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,0,0,0,0.25925925925925924,0.0,0,0,0,0,0,1,0,0,0,,phishing
42,34,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,,legitimate
104,10,1,10,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,1,0,0,0,0.07692307692307693,0.0,0,0,0,0,0,0,0,0,0,,legitimate
56,22,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,asp,legitimate
43,16,2,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.18604651162790697,0.0,0,0,0,0,0,1,0,0,0,,legitimate
83,14,1,9,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0.012048192771084338,0.0,0,0,0,0,0,0,0,0,0,,legitimate
31,10,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0.06451612903225806,0.0,0,0,0,0,0,0,0,0,0,html,phishing
25,16,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,legitimate
51,23,3,0,0,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0.0196078431372549,0.0,0,0,0,0,1,2,0,0,0,,phishing
31,22,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,,legitimate
50,21,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,1,1,0,0,0,0.06,0.0,0,0,0,0,0,1,0,0,0,,phishing
34,23,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,phishing
27,19,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.14814814814814814,0.21052631578947367,0,0,0,0,0,1,0,0,0,,legitimate
63,14,3,2,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0,0,0,0,1,2,0,0,0,,legitimate
66,16,2,4,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,,legitimate
40,11,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0.1,0.0,0,0,0,0,0,0,0,0,0,php,phishing
48,16,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,,legitimate
126,50,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0,2,1,0,0,0,0.09523809523809523,0.0,0,0,0,0,1,3,1,0,0,,phishing
41,32,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,,phishing
36,27,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,legitimate
72,24,2,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,,legitimate
68,42,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,1,0,0,0,0.16176470588235295,0.0,0,0,0,0,1,3,0,0,0,,phishing
163,14,4,9,1,0,2,0,1,0,0,0,3,0,1,0,2,0,0,1,0,1,0,0,0,0.3987730061349693,0.0,0,0,0,0,0,1,0,0,0,,phishing
26,18,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,1,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,,legitimate
